12-17 19:31:41.848 17238 17238 D Bth     : BtChrStatisticsManager:sendScreenOnEvent enter.
12-17 19:31:41.849 17238 17252 D Bth     : BtChrStatisticsManager:msg Loop is running.
12-17 19:31:41.862  1795  3110 D PowerManagerService: release:lock=228612087, flg=0x0, tag="ActivityManager-Sleep", name=android", ws=null, uid=1000, pid=1795
12-17 19:31:41.862  1795  3110 D PowerManagerService: ready=true,policy=0,wakefulness=0,wksummary=0x10,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0
12-17 19:31:41.862  1795  3110 D PowerManagerService: Releasing suspend blocker "PowerManagerService.WakeLocks".
12-17 19:31:41.862  1795  1825 V KeyguardServiceDelegate: onScreenTurnedOff()
12-17 19:31:41.862  1795  1825 I WindowManger_keyguard: onScreenTurnedOff()
12-17 19:31:41.862  1795  1825 I HwScreenOnProximityLock: removeProximityView success vp android.view.ViewRootImpl@dd54aaf
12-17 19:31:41.862  2852  3344 D KeyguardService: Caller checkPermission fail
12-17 19:31:41.862  2852  3344 D KeyguardService: KGSvcCall onScreenTurnedOff.
12-17 19:31:41.862  2852  3344 D KeyguardViewMediator: notifyScreenTurnedOff
12-17 19:31:41.863  1795  1825 D Sensors : batch called handle:2 sample_ns:20000000 latency_ns:0
12-17 19:31:41.863  1795  1825 D Sensors : pa2240-proximity calling driver setDelay 20 ms
12-17 19:31:41.863  1795  1825 E huawei_ProximitySensor_CPP_Test: write 20 failed
12-17 19:31:41.863  1795  1825 D HwNormalizedAutomaticBrightnessController: set power status:mPowerStatus=true,powerStatus=false
12-17 19:31:41.863  1795  1825 D DisplayPowerController: Animating brightness: target=0, rate=0
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerServiceonProximityNegative -> updatePowerStateLocked
12-17 19:31:41.863  1795  1825 D PowerManagerService: userActivityNoUpdateLocked: eventTime=123015035, event=0, flags=0x0, uid=1000
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onUserActivity: event=0, uid=1000
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerService wakeUpNoUpdateLocked: eventTime=123015035, uid=1000
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerService Waking up from sleep (uid 1000)...
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onWakefulnessChangeStarted: wakefulness=1, reason=0, interactive=true, mInteractive=false, mInteractiveChanging=false
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onWakeUp: event=android.server.power:POWER, reasonUid=1000 opPackageName=android opUid=1000
12-17 19:31:41.863  1795  1825 D PowerManagerService: userActivityNoUpdateLocked: eventTime=123015035, event=0, flags=0x0, uid=1000
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onUserActivity: event=0, uid=1000
12-17 19:31:41.863  1795  1795 I WindowManger_keyguard: Finished going to sleep... (why=6)
12-17 19:31:41.863  1795  1825 I PowerManager_screenOn: PowerManagerServiceonProximityNegative by Phone
12-17 19:31:41.864  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.864  1795  1795 I WindowManger_keyguard: onFinishedGoingToSleep(6)
12-17 19:31:41.864  1795  1825 D PowerManagerService: setColorTemperatureAccordingToSetting
12-17 19:31:41.864  1795  1825 D HwPowerManagerService: setColorTemperatureAccordingToSetting
12-17 19:31:41.864  1795  1825 D HwPowerManagerService: isDisplayFeatureSupported feature:1
12-17 19:31:41.864  1795  1825 D HW_DISPLAY_EFFECT: hw_get_smart_display_supported: start++
12-17 19:31:41.864  1795  1825 D HW_DISPLAY_EFFECT: hw_get_smart_display_supported: end--
12-17 19:31:41.864  1795  1825 D HWPowerManger_JNI: Surport 3 dimension color temperature.
12-17 19:31:41.864  1795  1825 D HwPowerManagerService: setColorTemperatureAccordingToSetting new.
12-17 19:31:41.864  1795  1825 D HwPowerManagerService: ColorTemperature read from old setting:128
12-17 19:31:41.864  1795  1825 D HwPowerManagerService: setColorTemperature:128
12-17 19:31:41.864  1795  1825 D HW_DISPLAY_EFFECT: hw_set_colortemperature: start++
12-17 19:31:41.864  1795  1825 W HW_DISPLAY_EFFECT: Warning: hw_set_colortemperature is COLOR_TEMP_2_DIMENSION interface, not supported presently.
12-17 19:31:41.864  1795  1825 D HW_DISPLAY_EFFECT: hw_set_colortemperature: end--
12-17 19:31:41.864  1795  1825 D PowerManagerService: ready=false,policy=3,wakefulness=1,wksummary=0x10,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0
12-17 19:31:41.864  1795  1825 I PowerManager_screenOn: DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=33, screenAutoBrightnessAdjustment=0.0, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-1, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-1, userId=0
12-17 19:31:41.864  1795  1825 I PowerManager_screenOn: DisplayPowerStatesetScreenState: state=2
12-17 19:31:41.864  1795  1825 D FpDataCollector: DisplayPowerState :ON
12-17 19:31:41.864  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.873  1795  1825 I PowerManager_screenOn: DisplayPowerController Blocking screen on until initial contents have been drawn.
12-17 19:31:41.873  2852  2822 D KeyguardService: Caller checkPermission fail
12-17 19:31:41.873  2852  2822 D KeyguardService: KGSvcCall onFinishedGoingToSleep.
12-17 19:31:41.873  2852  2822 D KeyguardViewMediator: onFinishedGoingToSleep(6)
12-17 19:31:41.873  2852  2822 D KeyguardViewMediator: notifyFinishedGoingToSleep
12-17 19:31:41.873  2852  2822 W AppHandler: sendMessage 15
12-17 19:31:41.874  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.874  1795  1795 I WindowManager: Destroying surface Surface(name=) called by com.android.server.wm.WindowStateAnimator.destroySurface:2056 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:907 com.android.server.wm.WindowState.removeLocked:1527 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2723 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2688 com.android.server.wm.WindowManagerService.removeWindowLocked:2677 com.android.server.wm.WindowManagerService.removeWindowLocked:2546 com.android.server.wm.WindowManagerService.removeWindow:2541 
12-17 19:31:41.875  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.876  1795  1795 I WindowManger_keyguard: Setting mDismissKeyguard true by win Window{e6a6b5e u0 com.android.incallui/com.android.incallui.InCallActivity}
12-17 19:31:41.877  1795  1795 I WindowManger_keyguard: Setting mDismissKeyguard true by win Window{e6a6b5e u0 com.android.incallui/com.android.incallui.InCallActivity}
12-17 19:31:41.877  1795  1825 I WindowManger_keyguard: Screen turned on for keyguard
12-17 19:31:41.877  1795  1825 I PowerManager_screenOn: KeyguardServiceDelegate  onScreenTurnedOn(showListener = com.android.server.policy.PhoneWindowManager$3@bf53b21)
12-17 19:31:41.878  2852  2867 D KeyguardService: Caller checkPermission fail
12-17 19:31:41.878  2852  2867 D KeyguardService: KGSvcCall onScreenTurningOn.
12-17 19:31:41.878  2852  2867 D KeyguardViewMediator: notifyScreenOn
12-17 19:31:41.880  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.881  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.886  1795  1825 D HwNormalizedAutomaticBrightnessController: set power status:mPowerStatus=false,powerStatus=true
12-17 19:31:41.887  1795  1825 D Sensors : batch called handle:3 sample_ns:300000000 latency_ns:0
12-17 19:31:41.887  1795 16501 W ActivityManager: getRunningAppProcesses: caller 10105 does not hold REAL_GET_TASKS; limiting output
12-17 19:31:41.887  1795  1825 D Sensors : activate called handle:3 enable:1
12-17 19:31:41.887  1795  1825 D Sensors : bh1745-light calling driver setDelay 300 ms
12-17 19:31:41.887  1795  1825 D Sensors : bh1745-light calling driver enable
12-17 19:31:41.887  1795  1825 W LightSensor: LightSensor, enable, 283: en=1
12-17 19:31:41.887  1795  1825 W LightSensor: LightSensor, enable, 284: flags=1
12-17 19:31:41.887  1795  1825 W LightSensor: LightSensor, enable, 285: mEnabled=0
12-17 19:31:41.888  1795  1795 I WindowManger_windowChange: oldFocusWindow: Window{dba0a8d u0 android}, currentFocusWindow: Window{e71ca6c u0 com.android.phone}, currentFocusApp: AppWindowToken{844a0b2 token=Token{2fd6a14 ActivityRecord{b46dc67 u0 com.android.incallui/.InCallActivity t310}}}
12-17 19:31:41.889  1795  1825 D AutomaticBrightnessController: Enable LightSensor at time:mLightSensorEnableTime=123015061,mLightSensorEnableElapsedTimeNanos=442838250251036
12-17 19:31:41.889  1795  1825 D AutomaticBrightnessController: mAmbientLuxValid= false,sensor is not ready
12-17 19:31:41.889  1795  1825 D DisplayPowerController: mode change : autoBrightnessEnabled=true,adjustment=0.0,state=2
12-17 19:31:41.889  1795  1825 D HwNormalizedAutomaticBrightnessController: mWakeupFromSleep= true,currentTime=123015061,mLightSensorEnableTime=123015058
12-17 19:31:41.889  1795  1825 D DisplayPowerController: Animating brightness: target=-1, rate=0
12-17 19:31:41.889  1795  1825 D DisplayPowerController: Unfinished business...
12-17 19:31:41.889  1795  2750 I PowerManager_screenOn: DisplayPowerState Updating screen state: state=ON, backlight=0
12-17 19:31:41.889  1795  2750 D PowerManagerService: Setting HAL auto-suspend mode to false
12-17 19:31:41.890  1795  2750 D PowerManagerService: Setting HAL interactive mode to true
12-17 19:31:41.890  1795  2750 I QTI PowerHAL: Got set_interactive hint
