12-17 19:31:56.620  1795 11745 I HwActivityManagerService: Split enqueueing broadcast [callerApp]:ProcessRecord{ec55919 3608:com.android.incallui/1001}
12-17 19:31:56.680  2852  2822 D KeyguardViewMediator: notifyScreenTurnedOff
12-17 19:31:56.680  1795  1825 D DisplayPowerController: Animating brightness: target=0, rate=0
12-17 19:31:56.680  1795  1825 I PowerManager_screenOn: PowerManagerServiceonProximityNegative -> updatePowerStateLocked
12-17 19:31:56.681  1795  1825 D PowerManagerService: userActivityNoUpdateLocked: eventTime=123029852, event=0, flags=0x0, uid=1000
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onUserActivity: event=0, uid=1000
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerService wakeUpNoUpdateLocked: eventTime=123029852, uid=1000
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerService Waking up from sleep (uid 1000)...
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onWakefulnessChangeStarted: wakefulness=1, reason=0, interactive=true, mInteractive=false, mInteractiveChanging=false
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onWakeUp: event=android.server.power:POWER, reasonUid=1000 opPackageName=android opUid=1000
12-17 19:31:56.681  1795  1825 D PowerManagerService: userActivityNoUpdateLocked: eventTime=123029852, event=0, flags=0x0, uid=1000
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerNotifier onUserActivity: event=0, uid=1000
12-17 19:31:56.681  1795  1825 I PowerManager_screenOn: PowerManagerServiceonProximityNegative by Phone
12-17 19:31:56.681  1795  1825 D PowerManagerService: setColorTemperatureAccordingToSetting
12-17 19:31:56.681  1795  1825 D HwPowerManagerService: setColorTemperatureAccordingToSetting
12-17 19:31:56.681  1795  1825 D HwPowerManagerService: isDisplayFeatureSupported feature:1
12-17 19:31:56.681  1795  1825 D HW_DISPLAY_EFFECT: hw_get_smart_display_supported: start++
12-17 19:31:56.681  1795  1825 D HW_DISPLAY_EFFECT: hw_get_smart_display_supported: end--
12-17 19:31:56.681  1795  1825 D HWPowerManger_JNI: Surport 3 dimension color temperature.
12-17 19:31:56.681  1795  1825 D HwPowerManagerService: setColorTemperatureAccordingToSetting new.
12-17 19:31:56.681  1795  1825 D HwPowerManagerService: ColorTemperature read from old setting:128
12-17 19:31:56.681  1795  1825 D HwPowerManagerService: setColorTemperature:128
12-17 19:31:56.681  1795  1825 D HW_DISPLAY_EFFECT: hw_set_colortemperature: start++
12-17 19:31:56.681  1795  1825 W HW_DISPLAY_EFFECT: Warning: hw_set_colortemperature is COLOR_TEMP_2_DIMENSION interface, not supported presently.
12-17 19:31:56.681  1795  1825 D HW_DISPLAY_EFFECT: hw_set_colortemperature: end--
12-17 19:31:56.681  1795  1825 D PowerManagerService: ready=false,policy=3,wakefulness=1,wksummary=0x10,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0
12-17 19:31:56.682  1795  1825 I PowerManager_screenOn: DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=33, screenAutoBrightnessAdjustment=0.0, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-1, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-1, userId=0
12-17 19:31:56.682  1795  1825 I PowerManager_screenOn: DisplayPowerStatesetScreenState: state=2
12-17 19:31:56.682  1795  1825 D FpDataCollector: DisplayPowerState :ON
12-17 19:31:56.682  3180  4303 I AwareLog: MemoryRecoveryDMEPlugin: reportScene typeId = 2002
12-17 19:31:56.682  3180  4303 I AwareLog: MemoryRecoveryDMEPlugin: receive sceen off event
12-17 19:31:56.689  3626  3626 I HourObserver: enter into handleScrnOnOffTimeStats, scrnOn = false, mIsPreScrnOn = true, mScrnSwitchTime = 1481974315818, occurTime = 1481974316688, delta = 870, mScrnOffAccTime = 1740717, mScrnOnAccTime = 110684
12-17 19:31:56.689  3626  3626 I HourObserver: left handleScrnOnOffTimeStats, mScrnOffAccTime = 1740717, mScrnOffAccTime = 1740717, mScrnOnAccTime = 111554
12-17 19:31:56.690  1795  1795 I WindowManger_keyguard: Started waking up...
12-17 19:31:56.690  1795  1795 I WindowManger_keyguard: onStartedWakingUp()
12-17 19:31:56.691  2852  2866 D KeyguardService: Caller checkPermission fail
12-17 19:31:56.691  2852  2866 D KeyguardService: KGSvcCall onStartedWakingUp.
12-17 19:31:56.691  2852  2866 W HwLockScreenReporter: report result = falsereport type:122 msg:
12-17 19:31:56.691  2852  2866 D KeyguardViewMediator: onStartedWakingUp, seq = 471
12-17 19:31:56.691  2852  2866 D KeyguardViewMediator: notifyStartedWakingUp
12-17 19:31:56.691  2852  2866 W AppHandler: sendMessage 14
12-17 19:31:56.693  2852  2852 D KeyguardViewMediator: handleNotifyScreenTurnedOff
12-17 19:31:56.694  2852  2852 I PhoneStatusBar: setSystemUiVisibility vis=c0000300 mask=ffffffff oldVal=80000300 newVal=c0000300 diff=40000000
12-17 19:31:56.694  2852  2852 I BarTransitions.HwPhoneStatusBarView: transitionTo: mode=MODE_TRANSLUCENT, animate=false
12-17 19:31:56.694  2852  2852 D BarTransitions.HwPhoneStatusBarView: MODE_OPAQUE -> MODE_TRANSLUCENT animate=false
12-17 19:31:56.694  2852  2852 D BarTransitions.HwPhoneStatusBarView: applyModeBackground oldMode=MODE_OPAQUE newMode=MODE_TRANSLUCENT animate=false
12-17 19:31:56.694  2852  2852 I BarTransitions.HwNavigationBarView: transitionTo: mode=MODE_TRANSLUCENT, animate=false
12-17 19:31:56.694  2852  2852 I HwNavigationBarTransitions: transitionTo:mode=2, isEmuiStyle=false
12-17 19:31:56.694  1795  1825 I PowerManager_screenOn: DisplayPowerController Blocking screen on until initial contents have been drawn.
