12-17 19:40:24.919  1795 17832 D ActivityManager: getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.ui.LauncherUI}
12-17 19:40:25.102   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[NOTICE] magic[2523810080 6458]:FSM_Tool_TreatFolderEncEx => [START]: pcFileName [cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult] 
12-17 19:40:25.102   633 20849 I SDK     : 
12-17 19:40:25.102   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[ERR] magic[2523810080 10969]:FSM_Tool_LibcAccess ==> call access err path:</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/UppmQLksydF4jiPx7vvVu9V8mxcQz4u8FMyhVWeaf4oEyot2QtrRPxu0vWwa4WlizavfVwhJviOq7Vb4qM8FmQ==>, errno:<2>
12-17 19:40:25.102   633 20849 E SDK     : 
12-17 19:40:25.102   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[ERR] magic[2523810080 781]:AnyOffice_API_JudgePathCallBack111 /mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult /data/data/com.huawei.svn.hiwork/config/smime /mnt/sdcard/AnyOffice/MailContent/flags
12-17 19:40:25.102   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[ERR] magic[2523810080 10969]:FSM_Tool_LibcAccess ==> call access err path:</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult>, errno:<2>
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 200]:libcOpenFile => fopen[2]: path</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult>, mode<r>
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 1818]:get =>FSM_Tool_CreateFileHandle error [-1000]
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 1189]:FSM_Tool_TreatFolderKeyInfoNew =>GetKeyInfo  error[-1000]
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 1552]:FSM_Tool_Tree_Enc_Path 1 fail(-1000) continue
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 10969]:FSM_Tool_LibcAccess ==> call access err path:</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult>, errno:<2>
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 10969]:FSM_Tool_LibcAccess ==> call access err path:</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult>, errno:<2>
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[NOTICE] magic[2523810080 1564]:FSM_Tool_Tree_Enc_Path end [/mnt/sdcard/sandbox/AnyOfficeSDK/sdk/UppmQLksydF4jiPx7vvVu9V8mxcQz4u8FMyhVWeaf4oEyot2QtrRPxu0vWwa4WlizavfVwhJviOq7Vb4qM8FmQ==]
12-17 19:40:25.103   633 20849 I SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 200]:libcOpenFile => fopen[2]: path</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/UppmQLksydF4jiPx7vvVu9V8mxcQz4u8FMyhVWeaf4oEyot2QtrRPxu0vWwa4WlizavfVwhJviOq7Vb4qM8FmQ==>, mode<r>
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[ERR] magic[2523810080 1992]:get =>FSM_Tool_CreateFileHandle error [-1000]
12-17 19:40:25.103   633 20849 E SDK     : 
12-17 19:40:25.103   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[NOTICE] magic[2523810080 2361]:FileSec: no bundle id in file tail.
12-17 19:40:25.103   633 20849 I SDK     : 
12-17 19:40:25.103   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:103 Level[NOTICE] magic[2523810080 2421]:FileSec: have right to open file due to cur app sec level = 0 is higher than file app() sec level = 0.
12-17 19:40:25.103   633 20849 I SDK     : 
12-17 19:40:25.104   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:104 Level[ERR] magic[2523810080 200]:libcOpenFile => fopen[2]: path</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/UppmQLksydF4jiPx7vvVu9V8mxcQz4u8FMyhVWeaf4oEyot2QtrRPxu0vWwa4WlizavfVwhJviOq7Vb4qM8FmQ==>, mode<rb>
12-17 19:40:25.104   633 20849 E SDK     : 
12-17 19:40:25.104   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:104 Level[ERR] magic[2523810080 2503]:FSM_OpenFile => [ERROR] fname</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult> handle<00000000> err<-1000>
12-17 19:40:25.104   633 20849 E SDK     : 
12-17 19:40:25.104   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:104 Level[ERR] magic[2523810080 116]:FSM_LibcOpenFile:FSM_OpenFile failed[/mnt/sdcard/sandbox/AnyOfficeSDK/sdk/cffb628ad277b3e98d6e9ae9dceca2a7_AnyOfficeSDKMDMResult]
12-17 19:40:25.104   633 20849 E SDK     : 
12-17 19:40:25.104   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:104 Level[ERR] magic[2523810080 2493]:failed to read group with error code 1
12-17 19:40:25.104   633 20849 E SDK     : 
12-17 19:40:25.104   633 20849 E SDK     : <2016-12-17 19:40:25> [ERR] SDK: UE-SeC 2016-12-17 19:40:25:104 Level[ERR] magic[2523810080 1523]:sdkmdm: NULL == pstHash
12-17 19:40:25.104   633 20849 E SDK     : 
12-17 19:40:25.222  1795  1821 I ActivityManager_activity: windowsVisibleLocked(): ActivityRecord{5f12a6a u0 com.tencent.mm/.ui.LauncherUI t383} idle: true
12-17 19:40:25.225  3879  3879 I HwLauncher: Launcher onStop()
12-17 19:40:25.234  1795  1825 D AutomaticBrightnessController: ambient lux=125.0,timeStamp =443361597698000
12-17 19:40:25.249  1795 16500 I WindowManager: Destroying surface Surface(name=com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher) called by com.android.server.wm.WindowStateAnimator.destroySurface:2056 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:907 com.android.server.wm.WindowState.destroyOrSaveSurface:2174 com.android.server.wm.AppWindowToken.destroySurfaces:366 com.android.server.wm.AppWindowToken.notifyAppStopped:392 com.android.server.wm.WindowManagerService.notifyAppStopped:4822 com.android.server.am.ActivityStack.activityStoppedLocked:1393 com.android.server.am.ActivityManagerService.activityStopped:7645 
12-17 19:40:25.253  1795  1809 I MultiTaskManagerService: onForegroundActivitiesChanged pid = 3879, uid = 10061
12-17 19:40:25.276  1795  2748 D HwAmbientLuxFilterAlgo: earliestValidTime + POWER_ON_BRIGHTENING_LIGHT_DEBOUNCE
12-17 19:40:25.277  1795  2748 D HwAmbientLuxFilterAlgo: earliestValidTime + POWER_ON_DARKENING_LIGHT_DEBOUNCE
12-17 19:40:25.295   625   718 E libnav  : CablComputeBacklightLevel(): UpdateType = DifferentSceneUpdate
12-17 19:40:25.350  1795  3237 D HwActivityManagerService: handleANRFilterFIFO,uid = 10105cmd = 0
12-17 19:40:25.355  2883  7070 I HwSystemManager: HoldService:checkBeforeShowDialogWithPid, current value:1, type:33554432, pkg:com.tencent.mm
12-17 19:40:25.355  2883  3756 I HwSystemManager: PermissionDbVisitor:insertHistoryRecord:HistoryRecord[packageName:com.tencent.mm,permissionType:33554432,action:11,dateStartTime:1481904000000,timestamp:1481974825355]
12-17 19:40:25.356  1795 16501 D HwActivityManagerService: handleANRFilterFIFO,uid = 10105cmd = 1
12-17 19:40:25.360  1795  2396 W ActivityManager: getRunningAppProcesses: caller 10105 does not hold REAL_GET_TASKS; limiting output
12-17 19:40:25.362  1795  1805 W ActivityManager: getRunningAppProcesses: caller 10105 does not hold REAL_GET_TASKS; limiting output
12-17 19:40:25.366  1795 11747 W ActivityManager: getRunningAppProcesses: caller 10105 does not hold REAL_GET_TASKS; limiting output
12-17 19:40:25.368  1795  3247 W ActivityManager: getRunningAppProcesses: caller 10105 does not hold REAL_GET_TASKS; limiting output
12-17 19:40:25.493  1795  1809 I WindowManager: onProposedRotationChanged, rotation=0
12-17 19:40:25.493  1795  1809 I WindowManager: MyOrientationListener: updateRotation.
12-17 19:40:25.493  1795  1809 I WindowManager: updateRotationUnchecked(alwaysSendConfiguration=false)
12-17 19:40:25.493  1795  1809 I WindowManager: rotationForOrientationLw(orient=1, last=0); user=0 
12-17 19:40:25.493  1795  1809 I WindowManager: Application requested orientation 1, got rotation 0 which has compatible metrics
