[Fri Jun 17 15:05:40 2005] [error] [client 218.65.235.56] request failed: error reading the headers
[Fri Jun 17 17:21:42 2005] [error] [client 222.134.168.126] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:22:38 2005] [error] [client 59.150.208.150] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:23:29 2005] [error] [client 24.79.132.157] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:33:27 2005] [error] [client 66.126.36.101] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:34:07 2005] [error] [client 222.245.98.214] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:41:05 2005] [error] [client 65.105.200.110] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:44:39 2005] [error] [client 218.89.90.7] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:53:18 2005] [error] [client 63.226.144.20] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:53:31 2005] [error] [client 63.148.56.130] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:57:10 2005] [error] [client 64.78.145.61] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:59:11 2005] [error] [client 203.90.199.75] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 18:02:10 2005] [error] [client 61.174.194.221] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 18:56:08 2005] [error] [client 222.134.169.85] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 18:57:20 2005] [error] [client 60.214.100.180] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 18:58:44 2005] [error] [client 66.13.99.58] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 19:22:59 2005] [error] [client 219.235.72.85] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 19:27:36 2005] [error] [client 65.26.196.13] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 19:27:49 2005] [error] [client 63.20.34.173] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 19:30:51 2005] [error] [client 66.135.96.177] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:00:36 2005] [error] [client 65.165.28.60] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:08:52 2005] [error] [client 66.13.99.58] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:25:24 2005] [error] [client 69.177.147.130] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:27:28 2005] [error] [client 66.134.239.242] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:28:20 2005] [error] [client 222.222.142.166] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:35:25 2005] [error] [client 64.50.131.82] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:37:31 2005] [error] [client 60.233.196.130] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:43:58 2005] [error] [client 222.50.101.26] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:46:09 2005] [error] [client 218.13.147.104] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 20:52:10 2005] [error] [client 68.110.174.147] File does not exist: /var/www/html/scripts/..%5c%5c..
[Fri Jun 17 20:59:32 2005] [error] [client 219.135.234.104] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 21:09:21 2005] [error] [client 66.31.61.166] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 21:14:55 2005] [error] [client 66.219.55.2] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 21:48:02 2005] [error] [client 218.89.93.99] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 21:52:27 2005] [error] [client 222.245.99.74] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 21:55:23 2005] [error] [client 61.138.111.18] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 21:59:36 2005] [error] [client 66.30.172.178] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:04:38 2005] [error] [client 64.80.184.244] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:06:17 2005] [error] [client 66.30.139.104] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:18:20 2005] [error] [client 65.67.15.230] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:27:41 2005] [error] [client 60.214.99.4] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:36:45 2005] [error] [client 64.50.131.82] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:41:12 2005] [error] [client 63.85.175.4] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:52:27 2005] [error] [client 64.26.73.131] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 22:52:42 2005] [error] [client 66.31.61.166] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 23:00:52 2005] [error] [client 61.138.111.18] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 23:03:59 2005] [error] [client 61.185.55.134] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 23:26:45 2005] [error] [client 71.8.34.8] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 23:39:23 2005] [error] [client 219.130.16.44] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 23:52:02 2005] [error] [client 69.15.10.2] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 23:54:08 2005] [error] [client 66.134.214.66] Directory index forbidden by rule: /var/www/html/
[Sat Jun 18 00:23:21 2005] [error] [client 222.134.197.196] Directory index forbidden by rule: /var/www/html/
[Sat Jun 18 00:31:32 2005] [error] [client 64.31.149.26] Directory index forbidden by rule: /var/www/html/
[Sat Jun 18 00:37:52 2005] [error] [client 61.10.7.136] Directory index forbidden by rule: /var/www/html/
